# 242Pu total cross section. 
# Source: ENDF/B-VIII.0

# E / MeV	CS / barn
1.00E-05	1087.59
1.10E-05	1035.65
1.11E-05	1032.25
1.22E-05	986.203
1.23E-05	979.73
1.34E-05	939.125
1.37E-05	929.839
1.48E-05	894.303
1.52E-05	882.494
1.63E-05	851.63
1.69E-05	837.521
1.80E-05	811.003
1.88E-05	794.847
1.99E-05	772.325
2.09E-05	754.314
2.19E-05	735.503
2.32E-05	715.856
2.42E-05	700.449
2.57E-05	679.33
2.67E-05	667.078
2.86E-05	644.678
2.94E-05	635.31
3.18E-05	611.77
3.24E-05	605.068
3.53E-05	580.553
3.58E-05	576.281
3.92E-05	550.91
3.95E-05	548.878
4.35E-05	522.797
4.38E-05	521.09
4.80E-05	497.978
4.90E-05	493.084
5.30E-05	474.353
5.49E-05	466.543
5.84E-05	451.863
6.14E-05	441.392
6.44E-05	430.457
6.86E-05	417.562
7.11E-05	410.083
7.73E-05	393.564
7.84E-05	390.687
8.65E-05	372.232
8.71E-05	371.024
9.54E-05	354.677
9.81E-05	350.053
1.05E-04	337.967
1.11E-04	330.187
1.16E-04	322.064
1.25E-04	310.279
1.28E-04	306.926
1.41E-04	292.521
1.42E-04	291.579
1.56E-04	278.826
1.62E-04	273.379
1.72E-04	265.788
1.87E-04	255.216
1.90E-04	253.375
2.09E-04	241.573
2.15E-04	238.465
2.31E-04	230.344
2.49E-04	222.02
2.54E-04	219.652
2.81E-04	209.486
2.93E-04	205.444
3.09E-04	199.811
3.41E-04	190.599
3.46E-04	189.395
3.77E-04	181.846
4.15E-04	173.501
4.58E-04	165.58
5.05E-04	158.024
5.57E-04	150.851
6.15E-04	144.011
6.24E-04	143.117
6.78E-04	137.514
7.48E-04	131.324
7.91E-04	128.021
8.25E-04	125.433
9.10E-04	119.832
1.00E-03	114.493
1.03E-03	113.089
1.11E-03	109.42
1.22E-03	104.592
1.35E-03	99.9892
1.41E-03	98.1612
1.49E-03	95.6138
1.64E-03	91.4531
1.81E-03	87.4881
1.99E-03	83.7091
2.01E-03	83.4625
2.20E-03	80.1238
2.43E-03	76.7096
2.68E-03	73.4569
2.95E-03	70.358
3.10E-03	68.9171
3.26E-03	67.4125
3.59E-03	64.6145
3.96E-03	61.9499
4.37E-03	59.4117
4.82E-03	56.9931
5.32E-03	54.6878
5.39E-03	54.3869
5.87E-03	52.5
6.47E-03	50.4184
7.14E-03	48.4374
7.87E-03	46.5516
8.68E-03	44.7557
9.58E-03	43.0442
1.06E-02	41.4133
1.17E-02	39.8597
1.29E-02	38.3876
1.42E-02	36.988
1.56E-02	35.6576
1.73E-02	34.3913
1.90E-02	33.1843
2.10E-02	32.0344
2.32E-02	30.9405
2.52E-02	30.0216
2.53E-02	29.9977
2.79E-02	29.0068
3.08E-02	28.0643
3.40E-02	27.1695
3.75E-02	26.321
4.13E-02	25.5166
4.16E-02	25.4559
4.56E-02	24.7497
4.62E-02	24.6352
5.03E-02	24.0202
5.13E-02	23.858
5.54E-02	23.3267
5.70E-02	23.123
6.12E-02	22.6678
6.33E-02	22.4278
6.75E-02	22.0416
6.99E-02	21.8161
7.49E-02	21.4084
7.76E-02	21.1938
8.27E-02	20.8465
8.62E-02	20.6026
9.12E-02	20.3124
9.57E-02	20.045
1.01E-01	19.8062
1.06E-01	19.5188
1.11E-01	19.3266
1.18E-01	19.0228
1.22E-01	18.8724
1.31E-01	18.5555
1.35E-01	18.4435
1.46E-01	18.1188
1.50E-01	18.0125
1.62E-01	17.7044
1.65E-01	17.6299
1.80E-01	17.3157
1.82E-01	17.2693
2.00E-01	16.9517
2.01E-01	16.9302
2.22E-01	16.6119
2.45E-01	16.3178
2.47E-01	16.2956
2.68E-01	16.0648
2.74E-01	16.0041
2.98E-01	15.7927
3.06E-01	15.7182
3.29E-01	15.558
3.40E-01	15.4735
3.62E-01	15.3449
3.81E-01	15.239
3.97E-01	15.1652
4.23E-01	15.0485
4.38E-01	14.9947
4.44E-01	14.9727
4.66E-01	14.888
4.80E-01	14.8497
5.18E-01	14.7388
5.25E-01	14.7242
5.79E-01	14.6162
5.79E-01	14.6162
5.83E-01	14.6103
6.35E-01	14.5557
6.43E-01	14.5463
6.90E-01	14.5284
7.05E-01	14.5188
7.51E-01	14.5196
7.67E-01	14.5199
8.11E-01	14.551
8.34E-01	14.567
8.76E-01	14.629
8.95E-01	14.6564
9.07E-01	14.6709
9.46E-01	14.747
9.73E-01	14.799
1.02E+00	14.9324
1.04E+00	14.9711
1.07E+00	15.0771
1.10E+00	15.1751
1.10E+00	15.1995
1.16E+00	15.429
1.17E+00	15.472
1.21E+00	15.6852
1.22E+00	15.7247
1.24E+00	15.8757
1.27E+00	16.0277
1.29E+00	16.1861
1.32E+00	16.4079
1.33E+00	16.4863
1.36E+00	16.6718
1.37E+00	16.7813
1.42E+00	17.2317
1.43E+00	17.2891
1.44E+00	17.4519
1.47E+00	17.7677
1.49E+00	17.9613
1.51E+00	18.2769
1.53E+00	18.5807
1.54E+00	18.6556
1.56E+00	18.871
1.59E+00	19.4873
1.60E+00	19.5697
1.62E+00	19.9837
1.63E+00	20.1802
1.64E+00	20.3014
1.67E+00	20.8711
1.69E+00	21.2791
1.69E+00	21.4108
1.70E+00	21.6687
1.72E+00	22.1352
1.74E+00	22.5847
1.75E+00	22.951
1.76E+00	23.1286
1.78E+00	23.6491
1.80E+00	24.2685
1.80E+00	24.4581
1.81E+00	24.9199
1.83E+00	25.3583
1.83E+00	25.6235
1.85E+00	26.3639
1.87E+00	26.9422
1.87E+00	27.2299
1.88E+00	27.4926
1.90E+00	28.4671
1.91E+00	28.7654
1.92E+00	29.5037
1.93E+00	29.8719
1.93E+00	30.2082
1.95E+00	31.4649
1.96E+00	31.8495
1.96E+00	31.8728
1.98E+00	33.2258
1.98E+00	33.2612
2.00E+00	34.7605
2.00E+00	34.7895
2.01E+00	35.3717
2.02E+00	36.4749
2.03E+00	37.1574
2.04E+00	38.4002
2.04E+00	38.4366
2.05E+00	39.1609
2.07E+00	40.5575
2.07E+00	41.4249
2.08E+00	42.2265
2.09E+00	42.9954
2.10E+00	43.9855
2.11E+00	45.7736
2.12E+00	46.8763
2.12E+00	46.8998
2.13E+00	48.9444
2.14E+00	50.1998
2.15E+00	51.3073
2.15E+00	51.3731
2.16E+00	53.9229
2.16E+00	54.0175
2.18E+00	56.793
2.18E+00	56.909
2.19E+00	58.4757
2.19E+00	59.9951
2.19E+00	60.1116
2.21E+00	63.5299
2.21E+00	63.6738
2.22E+00	67.5035
2.22E+00	67.6491
2.24E+00	71.9245
2.24E+00	72.1058
2.25E+00	74.5547
2.25E+00	76.9343
2.26E+00	77.1168
2.26E+00	80.5377
2.27E+00	81.0899
2.27E+00	82.8284
2.28E+00	85.3684
2.28E+00	85.6806
2.28E+00	87.5971
2.29E+00	89.6348
2.29E+00	90.747
2.29E+00	92.8402
2.30E+00	93.4676
2.30E+00	96.3299
2.30E+00	96.6409
2.31E+00	98.7125
2.31E+00	99.8943
2.31E+00	102.499
2.31E+00	102.594
2.32E+00	104.656
2.32E+00	105.218
2.32E+00	107.548
2.33E+00	109.552
2.33E+00	110.006
2.33E+00	112.152
2.33E+00	112.993
2.33E+00	114.299
